학교명,본분교,주소,Region_Name,위도,경도
서울시립대학교,본교,서울 동대문구 서울시립대로 163 (전농동 90번지) ,동대문구,37.5834233,127.0600271
서울여자간호대학교,본교,서울 서대문구 홍제3동 서울여자간호대학,서대문구,37.597475,126.947416
서울여자대학교,본교,서울특별시 노원구 화랑로 621 서울여자대학교,노원구,37.6281126,127.0904568
서일대학교,본교,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,중랑구,37.5867117,127.1001536
성공회대학교,본교,서울 구로구 항동 성공회대학교,구로구,37.4877355,126.825157
성균관대학교,본교,서울 종로구 명륜동3가 성균관대학교,종로구,37.588227,126.993606
성신여자대학교,본교,서울 성북구 동선동3가 성신여자대학교,성북구,37.5916992,127.0219923
세종대학교,본교,서울 광진구 군자동 세종대학교,광진구,37.5518018,127.0736345
숙명여자대학교,본교,서울 용산구 청파로47길 100 숙명여자대학교,용산구,37.546475,126.9646916
숭실대학교,본교,서울 동작구 상도동 511 숭실대학교,동작구,37.4963462,126.9568865
숭의여자대학교,본교,서울특별시 중구 소파로2길 10(예장동),중구,37.5569016,126.9874009
연세대학교,본교,서울 서대문구 신촌동 연세대학교,서대문구,37.5650797,126.9399549
이화여자대학교,본교,서울 서대문구 대현동 11-1 이화여자대학교,서대문구,37.5625607,126.9474535
인덕대학교,본교,서울 노원구 초안산로 12,노원구,37.6310852,127.0550567
장로회신학대학교,본교,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,광진구,37.550118,127.1038593
적십자간호대학,본교,서울 종로구 경교장길8,종로구,37.5673103,126.9663008
중앙대학교 서울캠퍼스,본교,서울 동작구 흑석로 84,동작구,37.5045563,126.9569379
총신대학교,본교,서울 동작구 사당동 산31-3,동작구,37.4907607,126.9671264
추계예술대학교,본교,서울 서대문구 북아현동 190-1 추계예술대학교,서대문구,37.5622814,126.9546074
한국방송통신대학교,본교,서울 종로구 동숭동 한국방송통신대학교,종로구,37.5790986,127.0027894
한국성서대학교,본교,서울 노원구 상계7동 한국성서대학교,노원구,37.6486885,127.0642073
한국예술종합학교,본교,서울 성북구 석관동 ,성북구,37.6082694,127.0614872
한국외국어대학교,본교,서울 동대문구 이문로 107,동대문구,37.5974261,127.058706
한국체육대학교,본교,서울 송파구 오륜동 한국체육대학교,송파구,37.5196266,127.1309837
한국폴리텍 I 대학 서울강서캠퍼스,본교,서울 강서구 화곡동 산60-1,강서구,37.5504011,126.843553
한국폴리텍Ⅰ대학 서울정수캠퍼스,본교,서울 용산구 보광로 73(보광동 238),용산구,37.5291378,126.9965384
한성대학교,본교,서울 성북구 삼선동3가 389 한성대학교,성북구,37.5828483,127.0105811
한양대학교,본교,서울특별시 성동구 왕십리로 222 ,성동구,37.5577414,127.0473936
한양여자대학교,본교,서울 성동구 행당동 살곶이길 200,성동구,37.5577414,127.0473936
한영신학대학교,본교,서울 구로구 경인로 290-42  한영신학대학교,구로구,37.4965411,126.8512616
홍익대학교,본교,서울특별시 마포구 와우산로 94(상수동),마포구,37.5484657,126.9252536
가톨릭대학교,제2캠퍼스,서울 서초구 반포동 505,서초구,37.5000792,127.005247
가톨릭대학교,제3캠퍼스,서울 종로구 창경궁로 296-12(혜화동) ,종로구,37.5860335,127.0042568
감리교신학대학교,본교,서울 서대문구 냉천동 감리교신학대학,서대문구,37.5676455,126.96161
건국대학교,본교,서울 광진구 화양동,광진구,37.5432534,127.07341
경기대학교,제2캠퍼스,서울 서대문구 경기대로9길 24 경기대학교,서대문구,37.5653276,126.9624031
경희대학교,본교,서울 동대문구 회기동 경희대학교,동대문구,37.5939495,127.0541558
고려대학교,본교,서울 성북구 안암동 고려대학교,성북구,37.5882275,127.0274641
광운대학교,본교,서울특별시 노원구 월계동 447-1,노원구,37.6197029,127.0596708
국민대학교,본교,서울 성북구 정릉3동 국민대학교,성북구,37.6108694,126.9972889
국제예술대학,본교,서울 강남구 논현동 79,강남구,37.5169054,127.0310041
그리스도대학교,본교,서울 강서구 화곡6동 그리스도대학교,강서구,37.5483449,126.8547974
덕성여자대학교,본교,서울특별시 도봉구 삼양로 144길 33,도봉구,37.6512976,127.0165728
동국대학교,본교,서울 중구 필동3가 동국대학교,중구,37.5585143,126.9970195
동덕여자대학교,본교,서울 성북구 하월곡2동 동덕여자대학교,성북구,37.6077595,127.0422513
동양미래대학교,본교,서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160),구로구,37.5000326,126.8680013
디지털서울문화예술대학교,본교,서울시 서대문구 통일로 37길 60 (홍제동 318-18),서대문구,37.5854462,126.9438636
명지대학교 인문캠퍼스,제2캠퍼스,서울 서대문구 남가좌동 50-3,서대문구,37.5802263,126.9231205
명지전문대학,본교,서울 서대문구 가좌로 134 명지전문대학 ,서대문구,37.5846465,126.9251874
배화여자대학교,본교,서울 종로구 필운대로 1길 34 배화여자대학교,종로구,37.5779167,126.9676798
백석예술대학교,본교,서울 서초구 방배로9길 23 백석예술대학교,서초구,37.4806731,126.996636
사이버한국외국어대학교,본교,서울 동대문구 이문동 한국외국어대학교,동대문구,37.5972565,127.0581605
삼육대학교,본교,서울시 노원구 화랑로 815(공릉2동 26-21),노원구,37.6429012,127.1060303
삼육보건대학교,본교,서울 동대문구 휘경2동,동대문구,37.5862154,127.0645629
상명대학교,본교,서울 종로구 홍지동 상명대학교,종로구,37.602638,126.955252
서강대학교,본교,서울 마포구 신수동 서강대학교,마포구,37.551704,126.93735
서경대학교,본교,서울 성북구 정릉4동 서경대학교,성북구,37.6148855,127.0133508
서울과학기술대학교,본교,서울 노원구 공릉로 232 (공릉동 172),노원구,37.6329741,127.0798802
서울과학기술대학교,본교,서울시 노원구 공릉로 232 서울과학기술대학교,노원구,37.6316684,127.0774813
서울교육대학교,본교,서울 서초구 서초중앙로 96(서초동 1650),서초구,37.4901737,127.0162346
서울기독대학교,본교,서울 은평구 갈현로 4길 26-2호,은평구,37.6008847,126.9122537
서울대학교,본교,서울 관악구 관악로 1 서울대학교,관악구,37.480967,126.953148
서울디지털대학교,본교,서울 마포구 도화동 560번지,마포구,37.5429672,126.9478554
서울사이버대학교,본교,서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교,강북구,37.6296664,127.027301
