,년도,자치구별,살인발생,살인검거,강도발생,강도검거,강간·강제추행발생,강간·강제추행검거,절도발생,절도검거,폭력발생,폭력검거,발생합계,인구수,범죄율,범죄율등수
0,2014,종로구,3,7,12,15,226,948,2272,1281,2508,2359,5021,165344,3036.7,2
1,2014,중구,6,5,13,13,221,161,2576,887,2415,2122,5231,136227,3839.91,1
2,2014,용산구,1,2,7,7,213,169,1560,522,2018,1640,3799,249914,1520.12,5
3,2014,성동구,1,1,5,6,141,103,1753,529,1682,1409,3582,303891,1178.71,16
4,2014,광진구,8,9,16,22,249,199,3167,1001,2828,2300,6268,377375,1660.95,4
5,2014,동대문구,12,11,13,8,141,112,1809,676,2388,2075,4363,376319,1159.39,17
6,2014,중랑구,11,10,14,11,163,118,2390,823,2775,2297,5353,423411,1264.26,11
7,2014,성북구,8,5,16,20,165,128,2130,935,2287,1940,4606,475961,967.73,20
8,2014,강북구,6,5,21,10,189,152,1494,575,2320,2064,4030,338410,1190.86,14
9,2014,도봉구,6,7,11,15,172,159,1350,478,1585,1327,3124,355712,878.24,25
10,2014,노원구,5,4,8,7,173,136,2404,803,2722,2350,5312,586056,906.4,23
11,2014,은평구,5,3,24,21,188,158,2352,798,2862,2345,5431,503243,1079.2,19
12,2014,서대문구,3,3,4,7,185,150,1883,665,2119,1763,4194,320861,1307.11,9
13,2014,마포구,4,4,22,9,265,218,2763,742,2686,2163,5740,395830,1450.12,8
14,2014,양천구,5,5,11,10,129,96,2058,630,2439,1913,4642,490708,945.98,21
15,2014,강서구,8,6,9,9,214,179,2341,734,2717,2297,5289,591653,893.94,24
16,2014,구로구,3,3,14,10,252,186,2377,579,2743,2207,5389,457131,1178.87,15
17,2014,금천구,7,7,9,6,162,133,1552,496,2112,1792,3842,258030,1488.97,7
18,2014,영등포구,14,15,10,5,250,183,3080,892,3649,2977,7003,421436,1661.7,3
19,2014,동작구,2,2,9,7,203,120,1787,603,1868,1580,3869,419261,922.81,22
20,2014,관악구,7,8,25,22,361,238,3029,784,3359,2649,6781,531960,1274.72,10
21,2014,서초구,6,9,14,12,285,184,2747,782,2506,2135,5558,454288,1223.45,12
22,2014,강남구,13,9,37,29,512,403,3895,1193,4394,3628,8851,583446,1517.02,6
23,2014,송파구,9,8,9,10,255,195,4199,885,3532,2884,8004,671794,1191.44,13
24,2014,강동구,5,4,10,8,148,129,2425,827,2804,2317,5392,481332,1120.22,18
25,2015,종로구,6,8,11,13,211,1139,2184,1145,2293,2125,4705,163822,2872.02,2
26,2015,중구,3,2,9,6,170,111,2548,859,2224,1964,4954,134329,3687.96,1
27,2015,용산구,5,5,14,14,194,173,1557,587,2050,1704,3820,247909,1540.89,5
28,2015,성동구,4,4,9,8,126,119,1607,597,1612,1395,3358,305065,1100.75,17
29,2015,광진구,4,4,14,26,240,220,3026,1277,2625,2180,5909,375180,1574.98,4
30,2015,동대문구,5,5,13,13,173,146,1981,814,2548,2227,4720,373824,1262.63,10
31,2015,중랑구,13,12,11,9,187,148,2135,829,2847,2407,5193,418620,1240.5,13
32,2015,성북구,5,5,5,4,150,124,1785,741,2209,1855,4154,469560,884.66,24
33,2015,강북구,7,8,14,13,153,126,1434,618,2649,2348,4257,334426,1272.93,9
34,2015,도봉구,3,3,9,10,102,106,1063,478,1487,1303,2664,353241,754.16,25
35,2015,노원구,10,10,7,7,197,121,2193,801,2723,2329,5130,578221,887.2,23
36,2015,은평구,3,3,9,6,166,141,1914,711,2653,2306,4745,502578,944.13,20
37,2015,서대문구,2,2,5,4,154,124,1812,738,2056,1711,4029,323105,1246.96,11
38,2015,마포구,8,8,14,10,294,247,2555,813,2983,2519,5854,398351,1469.56,8
39,2015,양천구,3,5,6,3,120,105,1890,672,2509,2030,4528,489010,925.95,22
40,2015,강서구,7,8,13,13,262,191,2096,1260,3207,2718,5585,595691,937.57,21
41,2015,구로구,8,6,15,11,281,164,2335,889,3007,2432,5646,454604,1241.96,12
42,2015,금천구,3,4,6,6,151,122,1567,888,2054,1776,3781,256167,1475.99,7
43,2015,영등포구,14,12,22,20,295,183,2964,978,3572,2961,6867,417811,1643.57,3
44,2015,동작구,5,5,9,5,285,139,1865,661,1910,1587,4074,412774,986.98,19
45,2015,관악구,9,8,12,14,320,221,2706,827,3298,2642,6345,529031,1199.36,15
46,2015,서초구,8,6,9,6,393,249,2635,1091,2399,2098,5444,451258,1206.41,14
47,2015,강남구,13,10,21,18,449,349,3850,1650,4284,3705,8617,581760,1481.19,6
48,2015,송파구,11,10,13,10,220,178,3239,1129,3295,2786,6778,667480,1015.46,18
49,2015,강동구,4,3,6,8,156,123,2366,789,2712,2248,5244,463321,1131.83,16
50,2016,종로구,6,5,12,14,238,1106,1940,1020,2263,2153,4459,161922,2753.8,2
51,2016,중구,3,3,8,7,198,148,2150,914,2225,1996,4584,134409,3410.49,1
52,2016,용산구,4,4,9,10,251,214,1489,599,2384,2008,4137,245102,1687.87,3
53,2016,성동구,4,5,3,5,104,78,1296,896,1619,1408,3026,307161,985.15,17
54,2016,광진구,4,4,11,6,279,234,2636,1057,2392,2011,5322,372104,1430.25,7
55,2016,동대문구,5,5,10,12,190,158,1940,1071,2642,2377,4787,370312,1292.69,9
56,2016,중랑구,8,7,14,14,164,150,1691,1052,3164,2712,5041,415677,1212.72,11
57,2016,성북구,4,3,8,8,154,117,1470,725,2108,1819,3744,461617,811.06,22
58,2016,강북구,7,6,5,4,217,159,1222,672,2778,2482,4229,330704,1278.79,10
59,2016,도봉구,3,3,5,5,123,121,866,492,1441,1309,2438,350272,696.03,25
60,2016,노원구,5,6,6,9,159,142,1857,740,2516,2124,4543,571212,795.33,23
61,2016,은평구,6,6,9,7,156,142,1666,890,2664,2308,4501,495937,907.57,19
62,2016,서대문구,6,7,5,4,175,147,1503,752,1976,1644,3665,325871,1124.68,13
63,2016,마포구,4,4,4,7,399,320,2527,940,2939,2500,5873,390887,1502.48,5
64,2016,양천구,5,5,7,7,131,108,1719,755,2250,1918,4112,481845,853.39,21
65,2016,강서구,9,10,10,10,275,239,1952,1070,3204,2768,5450,602104,905.16,20
66,2016,구로구,9,9,10,13,273,181,1910,861,3164,2680,5366,449600,1193.51,12
67,2016,금천구,6,6,7,7,175,143,1264,654,2193,1946,3645,254654,1431.35,6
68,2016,영등포구,13,13,19,14,356,225,2341,940,3593,3007,6322,406779,1554.16,4
69,2016,동작구,8,6,7,7,325,149,1226,554,1661,1444,3227,413247,780.89,24
70,2016,관악구,6,7,12,10,322,264,2103,937,3235,2707,5678,525607,1080.27,15
71,2016,서초구,5,5,13,10,428,271,2205,1107,2338,2029,4989,451477,1105.04,14
72,2016,강남구,5,5,39,42,516,413,3587,1918,4002,3527,8149,572140,1424.3,8
73,2016,송파구,9,8,15,12,234,184,2543,1048,3289,2808,6090,664946,915.86,18
74,2016,강동구,4,5,14,13,160,152,1754,902,2530,2201,4462,448471,994.94,16
75,2017,종로구,7,9,10,15,253,1412,1644,905,2143,2096,4057,164257,2469.91,2
76,2017,중구,1,0,9,9,267,149,1846,889,2061,1804,4184,134593,3108.63,1
77,2017,용산구,1,1,5,4,327,289,1346,626,2381,2016,4060,244444,1660.91,3
78,2017,성동구,1,1,3,3,132,106,1072,543,1559,1378,2767,312711,884.84,17
79,2017,광진구,6,5,13,8,261,208,2220,1168,2146,1900,4646,372298,1247.93,8
80,2017,동대문구,11,10,3,5,165,149,1547,1017,2249,2093,3975,366011,1086.03,11
81,2017,중랑구,5,5,3,4,172,144,1533,813,2858,2426,4571,412780,1107.37,10
82,2017,성북구,7,7,8,8,173,134,1344,703,1902,1627,3434,455407,754.05,24
83,2017,강북구,8,8,7,5,208,153,1014,635,2156,2023,3393,328002,1034.44,14
84,2017,도봉구,1,1,3,3,104,115,633,417,1258,1116,1999,346234,577.36,25
85,2017,노원구,4,4,9,7,180,155,1538,757,2478,2124,4209,558075,754.2,23
86,2017,은평구,6,6,4,4,230,213,1387,934,2256,2050,3883,491202,790.51,22
87,2017,서대문구,4,4,1,2,202,181,1230,719,1676,1393,3113,325028,957.76,16
88,2017,마포구,3,3,8,8,500,429,2094,837,2673,2222,5278,385783,1368.13,6
89,2017,양천구,3,2,3,2,138,122,1590,756,2148,1778,3882,475018,817.23,20
90,2017,강서구,11,11,4,6,316,253,1888,1113,2916,2544,5135,608255,844.22,18
91,2017,구로구,7,8,8,6,328,181,1725,869,2827,2344,4895,441559,1108.57,9
92,2017,금천구,5,5,5,5,240,212,1141,674,1874,1676,3265,253491,1288.01,7
93,2017,영등포구,15,13,5,5,455,267,2304,1108,3190,2619,5969,402024,1484.74,4
94,2017,동작구,1,1,7,9,396,173,1226,593,1700,1466,3330,408493,815.19,21
95,2017,관악구,8,7,7,6,379,323,1979,1152,3152,2666,5525,520929,1060.61,12
96,2017,서초구,9,10,13,7,470,283,1812,835,2404,2102,4708,445401,1057.03,13
97,2017,강남구,7,7,20,24,607,496,3130,1383,3956,3411,7720,561052,1375.99,5
98,2017,송파구,6,6,1,3,288,242,2274,1026,3007,2593,5576,671173,830.78,19
99,2017,강동구,5,6,10,12,172,169,1645,949,2429,2109,4261,440359,967.62,15
100,2018,종로구,6,7,3,7,236,1100,1483,969,1962,1830,3690,163026,2263.44,2
101,2018,중구,2,2,11,11,207,115,1855,832,1955,1719,4030,135633,2971.25,1
102,2018,용산구,1,1,3,2,331,285,1096,522,1980,1733,3411,245090,1391.73,4
103,2018,성동구,2,2,5,8,126,102,999,487,1325,1188,2457,316463,776.39,18
104,2018,광진구,7,5,2,1,229,184,1769,974,1908,1625,3915,371063,1055.08,11
105,2018,동대문구,2,2,5,4,145,112,1447,930,2081,1920,3680,364338,1010.05,13
106,2018,중랑구,4,5,3,3,174,145,1526,876,2581,2193,4288,408147,1050.6,12
107,2018,성북구,7,6,1,2,183,140,1164,635,1687,1494,3042,447687,679.49,24
108,2018,강북구,8,6,7,7,188,135,1112,603,2122,1992,3437,322915,1064.37,10
109,2018,도봉구,1,1,5,3,113,117,781,431,1349,1124,2249,341649,658.28,25
110,2018,노원구,5,4,5,5,194,173,1422,585,2381,1958,4007,548160,730.99,23
111,2018,은평구,8,8,1,1,188,169,1278,816,2115,1869,3590,487666,736.16,22
112,2018,서대문구,5,4,3,3,206,189,1062,585,1526,1235,2802,323080,867.28,16
113,2018,마포구,6,6,6,7,473,396,2011,882,2676,2278,5172,386359,1338.65,6
114,2018,양천구,2,3,4,14,120,111,1384,646,2005,1685,3515,468145,750.84,21
115,2018,강서구,11,9,6,3,269,246,1724,982,2619,2229,4629,603611,766.88,19
116,2018,구로구,8,8,9,9,250,181,1717,787,2826,2353,4810,438486,1096.96,8
117,2018,금천구,6,6,7,6,200,185,1168,645,1912,1725,3293,254021,1296.35,7
118,2018,영등포구,17,15,8,6,391,267,2292,1064,3132,2570,5840,403600,1446.98,3
119,2018,동작구,3,3,7,7,288,154,1151,532,1651,1394,3100,409385,757.23,20
120,2018,관악구,9,9,10,12,352,305,2012,1025,2643,2302,5026,520040,966.46,14
121,2018,서초구,5,5,5,5,470,315,1851,838,2395,2020,4726,438163,1078.59,9
122,2018,강남구,10,13,14,10,600,523,3004,1317,3885,3333,7513,547453,1372.36,5
123,2018,송파구,5,6,6,8,309,254,2352,1034,3135,2749,5807,673507,862.2,17
124,2018,강동구,3,3,7,7,170,143,1515,765,2224,1871,3919,431920,907.34,15
125,2019,종로구,4,5,7,8,238,1143,1515,1069,2082,1892,3846,161869,2376.0,2
126,2019,중구,2,1,6,5,195,115,2202,1050,1922,1633,4327,136488,3170.24,1
127,2019,용산구,3,3,3,4,272,237,999,544,2036,1823,3313,245185,1351.22,4
128,2019,성동구,6,5,9,10,133,96,970,511,1394,1216,2512,308979,813.0,20
129,2019,광진구,4,5,6,5,273,213,1875,1008,1853,1585,4011,366972,1093.0,10
130,2019,동대문구,6,6,10,9,168,143,1531,827,1977,1833,3692,363023,1017.02,14
131,2019,중랑구,10,10,4,5,138,108,1666,908,2450,2107,4268,402024,1061.63,12
132,2019,성북구,3,3,3,3,176,130,1082,731,1613,1456,2877,454744,632.66,24
133,2019,강북구,6,6,3,2,176,145,1229,664,2424,2206,3838,317695,1208.08,9
134,2019,도봉구,1,1,5,5,90,83,790,394,1224,1014,2110,335631,628.67,25
135,2019,노원구,4,4,3,3,184,158,1498,681,2464,2118,4153,537303,772.93,22
136,2019,은평구,3,3,1,1,194,162,1565,977,2117,1857,3880,484546,800.75,21
137,2019,서대문구,2,1,5,5,175,154,1226,600,1535,1260,2943,323171,910.66,16
138,2019,마포구,2,2,2,2,495,417,2190,917,2153,1832,4842,385925,1254.65,7
139,2019,양천구,6,6,2,2,127,112,1477,634,1602,1370,3214,462285,695.24,23
140,2019,강서구,8,9,3,4,306,257,2050,1077,2557,2196,4924,598273,823.04,19
141,2019,구로구,10,9,3,4,226,165,1916,965,2552,2148,4707,439371,1071.3,11
142,2019,금천구,6,6,10,6,153,126,1157,615,1779,1590,3105,251820,1233.02,8
143,2019,영등포구,10,10,3,3,356,239,2409,1068,3042,2467,5820,400986,1451.42,3
144,2019,동작구,4,2,1,1,251,110,1328,579,1816,1503,3400,408912,831.47,18
145,2019,관악구,13,10,10,11,408,335,2223,1085,2674,2369,5328,517334,1029.9,13
146,2019,서초구,5,5,7,5,616,412,2270,1118,2644,2210,5542,435107,1273.71,6
147,2019,강남구,5,3,5,6,666,562,2970,1339,3658,3159,7304,550209,1327.5,5
148,2019,송파구,7,8,10,10,273,230,2416,1016,2992,2535,5698,682741,834.58,17
149,2019,강동구,6,5,15,14,180,155,1650,907,2163,1874,4014,440390,911.46,15
150,2020,종로구,9,7,7,9,192,855,1183,944,1711,1528,3102,158996,1950.99,2
151,2020,중구,2,2,5,6,186,128,1642,863,1576,1324,3411,134635,2533.52,1
152,2020,용산구,5,3,6,6,230,186,1111,534,1617,1327,2969,244645,1213.6,5
153,2020,성동구,5,5,3,3,115,98,1016,565,1223,1103,2362,300505,786.01,18
154,2020,광진구,2,2,4,4,255,224,1664,874,1676,1407,3601,360109,999.98,9
155,2020,동대문구,10,8,6,5,161,142,1440,713,1784,1597,3401,357014,952.62,12
156,2020,중랑구,10,9,5,6,183,153,1506,889,2022,1724,3726,399562,932.52,13
157,2020,성북구,4,4,3,2,142,121,988,580,1430,1240,2567,447056,574.2,25
158,2020,강북구,9,8,5,4,159,132,780,490,1817,1625,2770,311569,889.05,14
159,2020,도봉구,0,0,2,2,82,87,861,379,1234,1022,2179,327361,665.63,24
160,2020,노원구,4,3,3,3,169,148,1404,646,2163,1781,3743,527032,710.2,21
161,2020,은평구,4,4,4,3,171,145,1371,756,1840,1623,3390,484043,700.35,23
162,2020,서대문구,3,3,2,1,159,149,1077,524,1292,1029,2533,322952,784.33,19
163,2020,마포구,9,8,4,3,348,287,1483,679,1844,1557,3688,381858,965.8,10
164,2020,양천구,5,5,3,3,109,90,1517,718,1582,1270,3216,457781,702.52,22
165,2020,강서구,10,9,6,5,265,222,1689,1070,2445,2087,4415,585901,753.54,20
166,2020,구로구,6,6,5,5,197,142,1763,1008,2204,1823,4175,432488,965.34,11
167,2020,금천구,4,4,7,6,117,93,999,553,1471,1310,2598,247835,1048.28,7
168,2020,영등포구,7,4,6,5,315,252,2188,953,2701,2157,5217,407367,1280.66,4
169,2020,동작구,1,1,1,2,226,121,1341,592,1631,1370,3200,401572,796.87,17
170,2020,관악구,12,12,3,3,403,351,2229,1137,2614,2355,5261,509803,1031.97,8
171,2020,서초구,5,5,6,4,396,303,2021,960,2173,1780,4601,429025,1072.43,6
172,2020,강남구,6,5,14,11,708,627,2951,1491,3677,3111,7356,544055,1352.07,3
173,2020,송파구,6,6,13,17,287,235,2429,1006,2675,2280,5410,673926,802.76,16
174,2020,강동구,3,3,15,14,188,167,1640,781,1942,1697,3788,463998,816.38,15
175,2021,종로구,6,3,4,4,156,757,1079,743,1467,1248,2712,153789,1763.46,2
176,2021,중구,6,6,6,6,161,97,1279,739,1409,1224,2861,131787,2170.93,1
177,2021,용산구,3,2,1,1,141,103,945,484,1291,1069,2381,237285,1003.43,5
178,2021,성동구,3,4,4,1,110,82,905,497,1090,926,2112,292672,721.63,17
179,2021,광진구,5,3,4,4,208,161,1414,754,1456,1280,3087,352627,875.43,10
180,2021,동대문구,3,4,7,8,169,147,1240,659,1540,1295,2959,352006,840.61,11
181,2021,중랑구,4,4,6,7,141,117,1399,835,1660,1442,3210,391885,819.12,13
182,2021,성북구,4,3,2,2,118,88,895,474,1392,1220,2411,440142,547.78,25
183,2021,강북구,4,4,1,1,136,115,777,537,1383,1255,2301,302563,760.5,14
184,2021,도봉구,2,2,2,1,72,64,772,376,1012,851,1860,319373,582.39,24
185,2021,노원구,6,6,3,3,156,126,1361,654,1899,1513,3425,514946,665.12,23
186,2021,은평구,4,5,3,3,166,133,1424,825,1647,1457,3244,477173,679.84,19
187,2021,서대문구,3,3,2,2,137,120,1027,562,1109,907,2278,315659,721.66,16
188,2021,마포구,4,3,4,4,321,275,1510,730,1701,1367,3540,378686,934.81,7
189,2021,양천구,1,1,3,3,116,92,1349,700,1546,1289,3015,450487,669.28,21
190,2021,강서구,9,7,3,3,246,188,1540,921,2098,1925,3896,579768,671.99,20
191,2021,구로구,5,5,2,1,182,118,1390,770,1907,1537,3486,421163,827.71,12
192,2021,금천구,7,6,3,4,134,103,1013,520,1282,1108,2439,244891,995.95,6
193,2021,영등포구,8,8,11,11,279,196,1712,831,2169,1731,4179,400908,1042.38,4
194,2021,동작구,2,3,1,1,180,94,1129,675,1319,1056,2631,394364,667.15,22
195,2021,관악구,8,4,7,6,321,269,1860,929,2248,1926,4444,499449,889.78,8
196,2021,서초구,9,9,5,5,312,228,1503,691,1827,1506,3656,416167,878.49,9
197,2021,강남구,12,11,25,23,578,454,2372,1160,3159,2749,6146,537800,1142.8,3
198,2021,송파구,3,3,7,6,247,216,2024,995,2433,2046,4714,663965,709.98,18
199,2021,강동구,3,3,6,6,124,103,1612,889,1713,1461,3458,466472,741.31,15
